no,ID,Location_group,Location,Collection_community,Year,Year_hair_growth,PCA_NameYearGrowth,Collection_type,Sex,Age,Trend,Trend2,Cu,Se,Mo,Co,Zn,Na,Mn,Mg,Fe,Cr,P,Ca,K,Cd,Si,Pb,As
55,2006-7,ZackenbergIncrease,Zackenberg,Zackenberg,2006,2005,Zackenberg-2005,Ground_collection,Unknown,Unknown,Increasing,Increasing,4.153025748,0.341440106,0.048751984,0.352234592,67.32923564,108.1308364,15.02302255,284.7963736,785.5973834,1.411544265,105.1888998,519.0976892,251.7751862,0.026029119,1848.558133,0.400162229,0.219630696
56,2006-8,ZackenbergIncrease,Zackenberg,Zackenberg,2006,2005,Zackenberg-2005,Ground_collection,Unknown,Unknown,Increasing,Increasing,3.114939005,0.360568554,0.03951901,0.248452862,82.03126713,196.9534685,10.67530205,474.4451657,561.7708416,1.292825789,106.7092768,577.3381991,395.4516195,0.02622488,1647.50782,0.308261014,0.202781245
57,2006-9,ZackenbergIncrease,Zackenberg,Zackenberg,2006,2005,Zackenberg-2005,Ground_collection,Unknown,Unknown,Increasing,Increasing,4.482916222,0.251701158,0.043345983,0.379537486,79.61118611,390.6744871,17.36079871,467.6998526,896.104473,1.861843931,110.8084012,579.2540956,449.0242816,0.045234637,2206.10124,0.394991999,0.203745912
58,2006-10,ZackenbergIncrease,Zackenberg,Zackenberg,2006,2005,Zackenberg-2005,Ground_collection,Unknown,Unknown,Increasing,Increasing,4.718350135,0.302026292,0.07156482,0.376394162,87.77363601,169.3259206,16.15752264,510.1159877,925.4482472,1.888402883,167.7953136,742.1304641,499.0925616,0.030067547,2344.075853,0.420185001,0.198162522
103,507-G-16,Yukon North Slope,Yukon North Slope,Yukon,2018,2017,Yukon North Slope-2017,Ground_collection,Unknown,Unknown,Stable,Stable,5.342062254,0.331637668,0.069581465,0.066720996,103.2928786,76.03648982,12.10319907,157.9834492,31.23706611,0.585980869,,682.8792848,190.3540072,0.155920558,,0.503466827,
104,507-G-15,Yukon North Slope,Yukon North Slope,Yukon,2018,2017,Yukon North Slope-2017,Ground_collection,Unknown,Unknown,Stable,Stable,5.351028254,0.265077967,0.087571184,0.03505418,95.64531749,15.25618804,31.2202991,47.16231871,27.47442458,0.176153964,,250.3427859,97.4162684,0.038047431,,0.071836253,
105,507-G-14,Yukon North Slope,Yukon North Slope,Yukon,2018,2017,Yukon North Slope-2017,Ground_collection,Unknown,Unknown,Stable,Stable,4.76943885,0.225302966,0.020591971,0.038107312,89.76239306,10.27792044,32.26766418,102.7793509,45.00718252,0.317997952,,391.7261838,48.13209588,0.048925414,,0.100856035,
106,507-G-13,Yukon North Slope,Yukon North Slope,Yukon,2018,2017,Yukon North Slope-2017,Ground_collection,Unknown,Unknown,Stable,Stable,4.806586709,0.230778993,0.032260095,0.044064608,104.2343781,34.05898963,2.182253242,69.46357087,17.94402649,0.34080819,,327.8744675,38.82694144,0.00330297,,0.077323339,
107,507-G-12,Yukon North Slope,Yukon North Slope,Yukon,2018,2017,Yukon North Slope-2017,Ground_collection,Unknown,Unknown,Stable,Stable,7.447282225,0.406449825,0.070030977,0.054127478,129.6035823,60.06796886,26.92386035,246.3644698,100.9829824,1.922944437,,2782.236918,344.6115532,0.976384555,,0.653275684,
108,507-G-11,Yukon North Slope,Yukon North Slope,Yukon,2018,2017,Yukon North Slope-2017,Ground_collection,Unknown,Unknown,Stable,Stable,4.898190499,0.392070528,0.050252416,0.06673088,101.1985815,69.25257181,16.03156922,462.6929683,22.8195506,0.378867706,,596.8340361,80.24784401,0.000921739,,0.121323322,
109,501-G-1,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,3.554987196,0.135233128,0.055801495,0.021129696,102.4063737,18.9970203,1.34127872,109.7364699,54.49574236,0.140822358,,443.2671726,18.22343585,0.008682387,,0.045833518,
110,501-G-2,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,4.723994619,0.160669309,0.114841498,0.108744982,107.2961947,23.80544088,6.333124643,257.0194379,219.8432753,0.373062823,,1064.538834,50.31372791,0.02692033,,0.123994473,
111,501-G-3,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,5.270509729,0.147726737,0.06479898,0.119028296,100.596941,59.40209101,4.314917218,154.7579103,283.273266,0.490301035,,572.3843848,75.77015676,0.01051029,,0.159041765,
112,501-G-4,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,3.408919551,0.154306962,0.073613567,0.322750941,113.9000611,31.3817664,31.63978318,321.6961673,1022.956564,0.585261306,,872.8266102,92.21654401,0.052355295,,0.204203609,
113,501-G-5,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,2.796441868,0.128974992,0.051789365,0.123809849,116.2226171,52.8249163,5.510912946,238.0028409,262.9770221,0.488426283,,1069.045746,91.15322749,0.001987093,,0.110757409,
114,501-G-6,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,4.321725238,0.166434423,0.089716836,0.142832721,113.9916154,43.05759713,8.176313346,407.1056602,331.6551014,0.45163429,,964.6523947,58.45253991,#VALUE!,,0.15454153,
115,501-G-7,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,3.524592334,0.138563191,0.0527222,0.041453112,105.8207415,59.80059222,1.291496373,67.98517566,93.05695484,0.575250417,,385.9112742,28.90967323,0.018019071,,0.077702388,
116,501-G-8,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,3.234092647,0.218013012,0.058060187,0.153176004,97.24340202,26.54500532,14.59631183,244.1239364,331.6665154,0.669718632,,858.6632714,273.7455056,0.023963182,,0.198164435,
117,501-G-9,Banks Island,Banks Island,Aulavik,2018,2017,Banks Island-2017,Ground_collection,Unknown,Unknown,Declining,Declining,3.347387393,0.207569539,0.064246521,0.212949461,98.0861633,24.82701065,19.56961443,242.8840631,397.9297727,0.707699471,,808.1991044,263.6152771,#VALUE!,,0.164440876,
118,508-G-20,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,4.814680962,0.462479427,0.143295257,0.293817954,89.42664849,79.79455025,22.55487611,234.1295221,631.3965826,1.128199613,,631.8355455,167.6511238,0.061795779,,0.325971301,
119,508-G-19,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.903777061,0.384822689,0.076900458,0.077882406,39.37945803,100.5760547,5.170654662,67.13378124,210.7618463,0.553235203,,367.4680282,62.93363253,#VALUE!,,0.190783451,
120,508-G-18,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.89650846,0.391637091,0.155400149,0.101477785,42.65096052,40.55522769,7.190747638,71.82629491,278.2576695,0.425884411,,330.3956285,53.90966365,0.012993257,,0.166015893,
121,508-G-17,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.683169429,0.297031379,0.044420866,0.040559954,78.14643301,57.63559831,7.486215605,42.94548052,76.6505068,0.098268735,,337.6519198,46.91906271,#VALUE!,,0.072308548,
122,G-38-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,7.725780793,0.387218501,0.110602878,0.25768123,72.18269909,44.37812777,18.1927178,156.45435,593.7076959,1.574651217,,314.2370094,113.582663,0.163117723,,0.48656463,
123,G-37-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.951352887,0.414462325,0.061836114,0.096430439,76.15270712,51.84439739,18.21800507,98.67155354,228.1328689,0.483391785,,308.3772937,108.8990653,0.023858808,,0.158488134,
124,G-36-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,8.869862114,0.389218282,0.074845954,0.155259769,64.16355234,40.56390014,12.90880667,115.6524282,307.1373382,0.600087845,,273.7616131,130.0922357,0.13456459,,0.339554476,
125,G-35-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,6.658581659,0.354690577,0.116226513,0.082389184,67.37791584,35.61370333,8.755832462,68.97634607,139.572495,0.252615649,,263.2692674,103.8807031,0.052457686,,0.179404232,
126,G-34-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,7.134510027,0.36868898,0.053373471,0.041218859,42.39302262,104.9162956,5.914820361,47.42134745,93.94388049,0.261060564,,250.4817885,149.8472018,0.030098933,,0.21641529,
127,G-33-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,8.138984851,0.330767556,0.113668836,0.136480346,73.60425437,69.79736536,16.98128381,120.8873892,345.6170741,1.000056844,,439.0186622,95.484523,0.061431671,,0.272370412,
128,G-32-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,6.336644922,0.347854616,0.051678018,0.133812762,84.77120133,20.70391665,33.52496148,180.7708416,79.38555214,0.187596045,,359.4858933,133.3713006,0.011608409,,0.090193209,
129,G-31-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,9.112679331,0.319803042,0.218268626,0.498634407,63.57141724,86.91873154,20.82518207,346.9758424,1287.960087,2.146324933,,449.7895166,355.9817177,0.107242503,,0.573270616,
130,G-30-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.391964025,0.37260224,0.133738523,0.195135109,90.0503944,130.8294087,9.455310109,87.88113712,303.6737472,0.362173339,,402.0253612,37.40425693,0,,0.167956946,
131,G-21-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,17.88323246,0.337810285,0.047246922,0.184294938,70.71797465,85.13942483,10.68578067,184.90002,455.1749365,0.922875339,,323.13285,135.1103457,0.017690272,,0.767240326,
132,G-29-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,6.496044998,0.253256932,0.057917217,0.131662942,64.41147479,159.9842337,11.99757738,69.77007149,226.1604429,0.326612549,,303.2571038,85.84036391,0.002971166,,0.150548001,
133,G-28-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.637334772,0.323450579,0.083189941,0.098996359,55.11343386,40.09498406,13.89957128,58.70795301,243.2654038,0.383049644,,283.9294491,90.62858476,0.035442897,,0.32901907,
134,G-27-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.875602958,0.373767858,0.05339875,0.101095429,26.20832655,9.656724605,3.136192131,69.0738192,256.3280213,0.768229394,,82.63484508,64.22681702,0,,0.192022231,
135,G-26-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.679914033,0.37639889,0.065471326,0.050110164,56.74203501,52.09827681,15.34332569,108.2108684,91.52845952,0.23252212,,306.4992554,74.14998559,0.045764872,,0.102899722,
136,G-25-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.296911918,0.293354416,0.059452285,0.110201552,62.54201626,60.03185262,5.025458772,121.5483477,285.9074164,0.725468275,,204.8415728,110.0765074,0.049557718,,0.173793345,
137,G-24-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,5.849400094,0.339606102,0.068961113,0.119381823,51.64718021,11.51890835,7.007812834,95.38511212,238.1912984,0.382232643,,286.7974849,88.31800987,0.040710029,,0.134242191,
138,G-23-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,6.908128656,0.321667066,0.090532611,0.243847178,39.49114827,24.40139709,9.307877526,179.2842182,607.0264974,1.112426111,,184.6143532,152.3720444,0.149494248,,0.320147672,
139,G-22-508,North Great Slave,North Great Slave,North Slave Lake,2018,2017,North Great Slave-2017,Ground_collection,Unknown,Unknown,Increasing,Increasing,10.13988558,0.283546676,0.140047778,0.51525585,68.00547492,86.25701123,20.79538649,282.2810199,890.7311944,1.662329051,,757.0521156,209.5904316,0.128758577,,0.589862035,
